Time,Anchor,Distance
8,0x1f2dc,884.2999
9,0x1f084,1018.05
10,0x1ebee,1305.35
11,0x1f2dc,898.4
13,0x1f084,1037.4
14,0x1ebee,1730.15
15,0x1f2dc,901.3499
16,0x1f084,1052.1
18,0x1ebee,1375.05
19,0x1f2dc,915.9
20,0x1f084,1052.65
21,0x1ebee,1723.95
23,0x1f2dc,890.45
24,0x1f084,1066.3
25,0x1ebee,1910.1
26,0x1f2dc,925.45
28,0x1f084,1073.5
29,0x1ebee,1238.7
30,0x1f2dc,1073.0
31,0x1f084,1069.8
33,0x1ebee,1257.85
34,0x1f2dc,1096.55
35,0x1f084,1073.3
36,0x1ebee,1195.1
38,0x1f2dc,1101.25
39,0x1f084,1019.9
40,0x1ebee,1137.55
41,0x1f2dc,1129.3
43,0x1f084,1017.45
44,0x1ebee,1204.3
45,0x1f2dc,1144.75
46,0x1f084,1021.25
48,0x1ebee,1187.05
49,0x1f2dc,1132.0
50,0x1f084,963.7
51,0x1ebee,1123.1
53,0x1f2dc,1114.55
54,0x1f084,1076.75
55,0x1ebee,1300.35
56,0x1f2dc,1087.45
58,0x1f084,1069.85
59,0x1ebee,1339.95
60,0x1f2dc,1099.55
61,0x1f084,1072.0
62,0x1ebee,1293.65
64,0x1f2dc,1090.8
65,0x1f084,1074.45
66,0x1ebee,1220.55
67,0x1f2dc,1091.05
69,0x1f084,1077.8
70,0x1ebee,1348.1
71,0x1f2dc,1092.35
72,0x1f084,1070.7
74,0x1ebee,1324.8
75,0x1f2dc,1113.6
76,0x1f084,1022.95
77,0x1ebee,1299.3
79,0x1f2dc,1096.4
80,0x1f084,1071.75
81,0x1ebee,1292.4
82,0x1f2dc,1115.05
84,0x1f084,1068.5
85,0x1ebee,1364.6
86,0x1f2dc,998.7
87,0x1f084,1063.6
89,0x1ebee,1329.95
90,0x1f2dc,1096.5
91,0x1f084,1061.5
92,0x1ebee,1310.85
94,0x1f2dc,1017.9
95,0x1f084,1068.45
96,0x1ebee,1349.7
97,0x1f2dc,1101.45
99,0x1f084,1060.5
100,0x1ebee,1243.1
101,0x1f2dc,1100.2
102,0x1f084,1067.55
104,0x1ebee,1367.1
105,0x1f2dc,1097.35
106,0x1f084,1064.4
107,0x1ebee,1340.75
108,0x1f2dc,1110.65
110,0x1f084,1072.5
111,0x1ebee,1166.15
112,0x1f2dc,1109.35
113,0x1f084,1073.75
115,0x1ebee,1333.7
116,0x1f2dc,1112.2
117,0x1f084,1061.7
118,0x1ebee,1369.95
120,0x1f2dc,1106.4
121,0x1f084,1070.35
122,0x1ebee,1322.75
123,0x1f2dc,1018.05
125,0x1f084,1071.6
126,0x1ebee,1312.3
127,0x1f2dc,1087.45
128,0x1f084,1077.95
130,0x1ebee,1323.15
131,0x1f2dc,1095.55
132,0x1f084,1074.55
133,0x1ebee,1238.2
135,0x1f2dc,1026.9
136,0x1f084,1066.3
137,0x1ebee,1341.3
138,0x1f2dc,1094.75
140,0x1f084,1066.9
141,0x1ebee,1176.3
142,0x1f2dc,959.1
143,0x1f084,1060.35
144,0x1ebee,1158.35
146,0x1f2dc,919.1
147,0x1f084,1058.35
148,0x1ebee,1036.5
149,0x1f2dc,839.9
151,0x1f084,1067.35
